commit,commit_date,author_date,path,loc,lloc,comments,blanks,entities,inter_cd,intra_cd,cc
6d0c552c8a5e7d09d8e49a4f245364dd38606eff,2008-02-07 12:55:02+00:00,2008-02-07 12:55:02+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,389,389,"cursor fixes

git-svn-id: https://svn.apache.org/repos/asf/activemq/trunk@619387 13f79535-47bb-0310-9956-ffa450edef68",48,65,1.4428065914302586,1.4428065905350151,29
2a153b085fce82a1cac802d96ab75fd756ac69fc,2008-02-21 08:13:08+00:00,2008-02-21 08:13:08+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,406,406,"Fix for https://issues.apache.org/activemq/browse/AMQ-1560

git-svn-id: https://svn.apache.org/repos/asf/activemq/trunk@629713 13f79535-47bb-0310-9956-ffa450edef68",52,71,1.4303716376848024,1.430371636151772,29
3f9d6e2ef873c817a37ae551dc7a35d3c6788c1d,2008-03-07 09:02:37+00:00,2008-03-07 09:02:37+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,407,407,"re-introduce optimize dispatch for queues

git-svn-id: https://svn.apache.org/repos/asf/activemq/trunk@634588 13f79535-47bb-0310-9956-ffa450edef68",52,71,1.4305367119574215,1.4305367111887048,29
044c07d9a5a32511d006a38edae1e91cd033dd8e,2008-03-10 20:35:34+00:00,2008-03-10 20:35:34+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,418,418,"Added a lazy dispatch option for queues

git-svn-id: https://svn.apache.org/repos/asf/activemq/trunk@635682 13f79535-47bb-0310-9956-ffa450edef68",54,74,1.4265917784040334,1.4265917782064512,29
7d70fec53a2a0756c37cf4ae82a1bdc0541418a2,2008-03-11 19:13:50+00:00,2008-03-11 19:13:50+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,418,418,"make lazy dispatch the default for queues

git-svn-id: https://svn.apache.org/repos/asf/activemq/trunk@636067 13f79535-47bb-0310-9956-ffa450edef68",54,74,1.4261467360577063,1.4261467371329184,29
ff7033fa148a1009de856ffec88758ca2108f0fb,2008-03-19 21:52:31+00:00,2008-03-19 21:52:31+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,418,418,"set default max page size to 100

git-svn-id: https://svn.apache.org/repos/asf/activemq/trunk@639030 13f79535-47bb-0310-9956-ffa450edef68",54,74,1.4267003703300065,1.426700368643979,29
9e13dc67fa6a80f65669576b51a4c3c1b3ba184e,2008-03-21 04:26:33+00:00,2008-03-21 04:26:33+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,418,418,"Disable lazy dispatch.  Was causing queue browser tests to fail.


git-svn-id: https://svn.apache.org/repos/asf/activemq/trunk@639539 13f79535-47bb-0310-9956-ffa450edef68",54,74,1.4265739941283833,1.4265739932473867,29
cdc2fd3d6d99dca3d1547a116205bdadc20f11ac,2008-05-22 18:56:03+00:00,2008-05-22 18:56:03+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,516,516,"Fix for:
https://issues.apache.org/activemq/browse/AMQ-1704
https://issues.apache.org/activemq/browse/AMQ-1679
https://issues.apache.org/activemq/browse/AMQ-609

git-svn-id: https://svn.apache.org/repos/asf/activemq/trunk@659203 13f79535-47bb-0310-9956-ffa450edef68",69,93,1.4189539547940488,1.418953956376487,29
0d8586903a689041c3a4b94b64df07ae0115e834,2008-06-16 12:57:29+00:00,2008-06-16 12:57:29+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,517,517,"Fix for https://issues.apache.org/activemq/browse/AMQ-1796

git-svn-id: https://svn.apache.org/repos/asf/activemq/trunk@668146 13f79535-47bb-0310-9956-ffa450edef68",69,93,1.4194610341114795,1.4194610364829388,29
c8bd57cdc7a2bea5f0b4334a52aa2aa9a42ce7e0,2008-08-15 14:29:27+00:00,2008-08-15 14:29:27+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,517,517,"Fix for https://issues.apache.org/activemq/browse/AMQ-1878

git-svn-id: https://svn.apache.org/repos/asf/activemq/trunk@686236 13f79535-47bb-0310-9956-ffa450edef68",69,93,1.420987653557378,1.4209876544108992,29
47cfa5590bfe5f1015e48ea300c4a8ed9a86e340,2008-09-02 06:14:22+00:00,2008-09-02 06:14:22+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,527,527,"Fix for https://issues.apache.org/activemq/browse/AMQ-1909
and https://issues.apache.org/activemq/browse/AMQ-1914


git-svn-id: https://svn.apache.org/repos/asf/activemq/trunk@691114 13f79535-47bb-0310-9956-ffa450edef68",71,96,1.430976920707703,1.4309769221231692,29
a321204079f435deaf8d082fb3de95c5c792c7f2,2009-01-23 12:11:00+00:00,2009-01-23 12:11:00+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,546,546,"fix for http://issues.apache.org/activemq/browse/AMQ-2016

git-svn-id: https://svn.apache.org/repos/asf/activemq/trunk@737017 13f79535-47bb-0310-9956-ffa450edef68",74,102,1.4361845677768734,1.4361845716228534,29
9ad6c089faf923cf92421cab51cd42f2f0a33d55,2009-02-17 12:56:24+00:00,2009-02-17 12:56:24+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,546,546,"fix for https://issues.apache.org/activemq/browse/AMQ-2120

git-svn-id: https://svn.apache.org/repos/asf/activemq/trunk@745031 13f79535-47bb-0310-9956-ffa450edef68",74,102,1.4369968976965188,1.4369968970724312,29
c6a485f90b5f3bc17002303b9dfaa6dc0bb127b9,2009-07-03 12:02:07+00:00,2009-07-03 12:02:07+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,563,563,"first cut of resolution to deterministic expiry https://issues.apache.org/activemq/browse/AMQ-1112 - default period is 30 seconds, destination policy entry allows it to be specified or turned off (0)

git-svn-id: https://svn.apache.org/repos/asf/activemq/trunk@790880 13f79535-47bb-0310-9956-ffa450edef68",79,108,1.4415337416636296,1.4415337422192294,25
fc63a923393f9ed6b12be9850a03abda1527e4ca,2009-07-29 21:40:29+00:00,2009-07-29 21:40:29+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,666,666,"Fix for https://issues.apache.org/activemq/browse/AMQ-1846

git-svn-id: https://svn.apache.org/repos/asf/activemq/trunk@799090 13f79535-47bb-0310-9956-ffa450edef68",96,122,1.4381602682765617,1.4381602699811855,33
dd9c10dfde17afcef224208cd708214a6f5abbfc,2009-09-04 08:54:44+00:00,2009-09-04 08:54:44+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,666,666,"Disable flow control by default in the PolicyEntry - for https://issues.apache.org/activemq/browse/AMQ-2318

git-svn-id: https://svn.apache.org/repos/asf/activemq/trunk@811291 13f79535-47bb-0310-9956-ffa450edef68",96,122,1.4384000300125468,1.438400031204392,33
356c39dcfc1673410b3a7b7d2055586be3279ab8,2009-09-10 15:05:55+00:00,2009-09-10 15:05:55+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,667,667,"expose journal writeBatchSize and tidy up xbean annotations

git-svn-id: https://svn.apache.org/repos/asf/activemq/trunk@813469 13f79535-47bb-0310-9956-ffa450edef68",96,122,1.4384000300125468,1.4384000304454168,33
785454a3669fc6d2207088847256abd2c792cc3b,2009-09-23 15:54:37+00:00,2009-09-23 15:54:37+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,681,681,"Fix for https://issues.apache.org/activemq/browse/AMQ-2403

git-svn-id: https://svn.apache.org/repos/asf/activemq/trunk@818147 13f79535-47bb-0310-9956-ffa450edef68",98,125,1.4390706038051444,1.43907060511575,33
6e7c4a4da91177764a561263234c552e67dee7f2,2009-09-23 17:51:45+00:00,2009-09-23 17:51:45+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,680,680,"remove unused imports

git-svn-id: https://svn.apache.org/repos/asf/activemq/trunk@818176 13f79535-47bb-0310-9956-ffa450edef68",98,125,1.4390706038051444,1.4390706062067058,33
48764becbdb72c94fd50601464f6e9e848490ed2,2009-11-25 19:35:09+00:00,2009-11-25 19:35:09+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,703,703,"Adding a blockedProducerWarningInterval attribute to destinations to control the rate at which warnings about blocked producers are generated (otherwise the warnings can flood the log). 

git-svn-id: https://svn.apache.org/repos/asf/activemq/trunk@884234 13f79535-47bb-0310-9956-ffa450edef68",100,128,1.4396071052237411,1.4396071053684654,33
a2af47bd1d3c6a6f0b6e6ce5424d1458a6d45030,2010-02-24 12:53:37+00:00,2010-02-24 12:53:37+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,703,703,"resolve https://issues.apache.org/activemq/browse/AMQ-2626 - ensure reference count is decremented on non evicted messages

git-svn-id: https://svn.apache.org/repos/asf/activemq/trunk@915770 13f79535-47bb-0310-9956-ffa450edef68",100,128,1.4391615310566785,1.4391615324329785,33
