File,# of Commits,"corr(LOC, IntraCD)","corr(LOC, InterCD)","corr(LLOC, IntraCD)","corr(LLOC, InterCD)","corr(Entities, IntraCD)","corr(Entities, InterCD)"
activemq-client/src/main/java/org/apache/activemq/command/ShutdownInfo.java,13,-0.048,-0.048,-0.048,-0.048,-0.342,-0.342
activemq-client/src/main/java/org/apache/activemq/command/SubscriptionInfo.java,18,-0.69,-0.69,-0.69,-0.69,-0.637,-0.637
activemq-client/src/main/java/org/apache/activemq/command/TransactionId.java,10,0.383,0.383,0.383,0.383,nan,nan
activemq-client/src/main/java/org/apache/activemq/command/TransactionInfo.java,12,-0.803,-0.803,-0.803,-0.803,nan,nan
activemq-client/src/main/java/org/apache/activemq/command/WireFormatInfo.java,38,0.864,0.864,0.864,0.864,0.887,0.887
activemq-client/src/main/java/org/apache/activemq/command/XATransactionId.java,18,0.969,0.969,0.969,0.969,0.969,0.969
activemq-client/src/main/java/org/apache/activemq/filter/ArithmeticExpression.java,14,0.624,0.853,0.624,0.853,nan,nan
activemq-client/src/main/java/org/apache/activemq/filter/BinaryExpression.java,10,-0.383,-0.383,-0.383,-0.383,nan,nan
activemq-client/src/main/java/org/apache/activemq/filter/ComparisonExpression.java,22,0.839,0.806,0.839,0.806,0.892,0.894
activemq-client/src/main/java/org/apache/activemq/filter/CompositeDestinationFilter.java,11,-0.964,-0.964,-0.964,-0.964,nan,nan
activemq-client/src/main/java/org/apache/activemq/filter/ConstantExpression.java,17,-0.289,0.052,-0.289,0.052,nan,nan
activemq-client/src/main/java/org/apache/activemq/filter/DestinationFilter.java,15,0.846,0.846,0.846,0.846,0.547,0.547
activemq-client/src/main/java/org/apache/activemq/filter/DestinationMap.java,26,-0.289,-0.289,-0.289,-0.289,-0.441,-0.441
activemq-client/src/main/java/org/apache/activemq/filter/DestinationMapEntry.java,16,0.701,0.701,0.701,0.701,0.699,0.699
activemq-client/src/main/java/org/apache/activemq/filter/DestinationMapNode.java,24,0.74,0.74,0.74,0.74,0.892,0.892
activemq-client/src/main/java/org/apache/activemq/filter/DestinationPath.java,12,0.758,0.758,0.758,0.758,1.0,1.0
activemq-broker/src/main/java/org/apache/activemq/filter/JAXPXPathEvaluator.java,17,0.813,0.813,0.813,0.813,0.804,0.804
activemq-client/src/main/java/org/apache/activemq/filter/LogicExpression.java,17,0.914,0.999,0.914,0.999,0.902,0.996
activemq-client/src/main/java/org/apache/activemq/filter/MessageEvaluationContext.java,11,-0.648,-0.648,-0.648,-0.648,-0.928,-0.928
activemq-client/src/main/java/org/apache/activemq/filter/MultiExpressionEvaluator.java,12,0.276,0.533,0.276,0.533,nan,nan
activemq-client/src/main/java/org/apache/activemq/filter/NoLocalExpression.java,10,0.57,0.57,0.57,0.57,nan,nan
activemq-client/src/main/java/org/apache/activemq/filter/PrefixDestinationFilter.java,14,0.763,0.763,0.763,0.763,0.962,0.962
activemq-client/src/main/java/org/apache/activemq/filter/PropertyExpression.java,23,0.747,0.88,0.747,0.88,0.719,0.706
activemq-client/src/main/java/org/apache/activemq/filter/SimpleDestinationFilter.java,9,nan,nan,nan,nan,nan,nan
activemq-client/src/main/java/org/apache/activemq/filter/UnaryExpression.java,15,-0.418,0.908,-0.418,0.908,-0.362,0.92
activemq-client/src/main/java/org/apache/activemq/filter/WildcardDestinationFilter.java,11,0.907,0.907,0.907,0.907,1.0,1.0
activemq-client/src/main/java/org/apache/activemq/filter/XPathExpression.java,17,0.995,0.995,0.995,0.995,0.995,0.995
activemq-client/src/main/java/org/apache/activemq/filter/XQueryExpression.java,10,-0.395,-0.395,-0.395,-0.395,nan,nan
activemq-client/src/main/java/org/apache/activemq/jndi/ActiveMQInitialContextFactory.java,20,0.711,0.629,0.711,0.629,0.878,0.744
